Topic ID,Topic Word Scores,Generic Label
17,"[('arizona', 0.039288693582634066), ('ballots', 0.03529780849495369), ('audits', 0.02302012530980508), ('fraud', 0.016470597300400888), ('fraudulent', 0.011059117271841525), ('voter', 0.009900592665485283), ('electors', 0.009623198673596206), ('ballot', 0.0090412709949742), ('flynn', 0.008454973088382814), ('arizonas', 0.007445005930570679)]",Politics
18,"[('abortion', 0.06788195397283837), ('unborn', 0.015918261013938267), ('pregnancy', 0.013993526555796946), ('abortions', 0.013603271670158316), ('womb', 0.011194821244637557), ('embryo', 0.009448997726733781), ('abortionists', 0.009448997726733781), ('fetal', 0.008673060070380378), ('parenthood', 0.008673060070380378), ('roe', 0.00816196300209499)]",Society
19,"[('won', 0.07725246491962054), ('113', 0.04181550435573957), ('rightfully', 0.03699807860938764), ('landslide', 0.03443293314748048), ('trump', 0.028668302749047858), ('godzilla', 0.02420463101206124), ('breitbartnews', 0.022216982670559333), ('wwforusa', 0.0171882108384122), ('kong', 0.01539016367742661), ('reinstate', 0.014338373513721903)]",Politics
20,"[('hoax', 0.0672021701091459), ('covid', 0.03403959274911352), ('covid19', 0.014431728547196097), ('compelling', 0.009845550190502086), ('usher', 0.009845550190502086), ('cvpayne', 0.009845550190502086), ('virus', 0.008575658115421965), ('investigation', 0.00852012235654094), ('nwo', 0.008213139657562844), ('fooled', 0.007785677439952471)]",Health
21,"[('florida', 0.07308183440893705), ('deaths', 0.0352016529123903), ('miami', 0.02339160025052416), ('floridas', 0.01870108099864396), ('covid', 0.01689250199526744), ('covid19', 0.014068008853219837), ('fl', 0.013357914999031401), ('hospitalizations', 0.012119664666392523), ('govrondesantis', 0.012119664666392523), ('states', 0.008784111268766217)]",Health
22,"[('vax', 0.056477388277136636), ('jab', 0.03609093045562369), ('antibodies', 0.01035983789677587), ('vaxed', 0.010017130783041665), ('antivax', 0.010017130783041665), ('antivaxxer', 0.009697268402701393), ('clots', 0.008481220717508509), ('vaxxers', 0.007749772255213923), ('antivaxers', 0.007749772255213923), ('immunity', 0.007466825903445046)]",Health
23,"[('robinhood', 0.07228937755346465), ('shares', 0.04913215176630497), ('gme', 0.04742397108534974), ('stock', 0.03549129519276096), ('stocks', 0.030489049392864585), ('robinhoodapp', 0.030489049392864585), ('market', 0.028598714942404253), ('investors', 0.017866308594222894), ('trading', 0.01742231393877976), ('hood', 0.010341795794014529)]",Economy
24,"[('won', 0.0423546240545273), ('biden', 0.031879580051957526), ('cheated', 0.029380991388036414), ('votes', 0.028258091032994904), ('election', 0.026605103653647922), ('win', 0.021416195576871862), ('illegitimate', 0.014619336773402146), ('indictment', 0.010000948826526912), ('reversed', 0.00888656429186462), ('cheat', 0.00777217975720233)]",Politics
25,"[('vote', 0.033393117588784466), ('senators', 0.02756751127861564), ('voting', 0.024833421880709246), ('voter', 0.02294668612573412), ('senate', 0.016943466276668172), ('elections', 0.014504813783064728), ('democrats', 0.014325603356989038), ('laws', 0.012144081995864501), ('congress', 0.012051674361538695), ('ballot', 0.009671551905681537)]",Politics
26,"[('georgia', 0.07135781978684587), ('voting', 0.0396641321208117), ('voter', 0.02691129681761488), ('georgias', 0.018668533120312743), ('stacey', 0.01714581451926706), ('voters', 0.01462334850527441), ('elections', 0.013539272701020778), ('republicans', 0.013211580697230932), ('staceyabrams', 0.012213200595745561), ('ga', 0.010056239296004509)]",Politics
